Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2000.0,MITI,2S,MAROON,16303c,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER READING ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,No,No,No,No,No,MD,02 - Automobile,2013.0,HONDA,CIVIC,GRAY,2111241b,No,WHITE,M,CLARKSBURG,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,05 - Light Duty Truck,2008.0,FORD,TRUCK,RED,21201a1,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYOTA,HIGHLANDER,SILVER,2111242d2,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,Yes,No,No,LA,02 - Automobile,2011.0,CHEVROLET,AVALANCHE,BLACK,21202h1,Yes,WHITE,M,COVINGTON,LA,LA,A - Marked Patrol,Citation
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 26204,No,No,No,No,No,MD,02 - Automobile,2003.0,CHRYSLER,TOWN COUNTRY,BLUE,16303h,No,WHITE,F,CLARKSBURG,MD,MD,S - License Plate Recognition,Citation
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,No,No,No,No,No,MD,02 - Automobile,2008.0,MAZDA,3,SILVER,219011a,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING UNINSURED VEHICLE,No,No,No,No,No,MD,02 - Automobile,2003.0,FORD,TAURUS,WHITE,17107,No,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING A MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,EXPLORER,BLACK,16101a,No,HISPANIC,M,SILVER SPRING,MD,,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2001.0,CHEVROLET,TAHOE,BLACK,16112c,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 104 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2004.0,HYUNDAI,ELANTRA,RED,218011,No,WHITE,M,GERMANTOWN,MD,MD,Q - Marked Laser,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2012.0,KIA,4S,RED,16101a,No,WHITE,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Citation
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,No,No,Yes,No,No,MD,02 - Automobile,2013.0,CHRYSLER,SEBRING,RED,21310a,No,WHITE,F,OLNEY,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2014.0,CADILLAC,CTS,WHITE,2111242d2,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,No,No,No,No,No,MD,02 - Automobile,2012.0,NISSAN,MAXIMA,SILVER,22406i1,No,ASIAN,F,ADELPHI,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,No,No,No,No,No,MD,02 - Automobile,2013.0,SUBARU,IMPREZA,WHITE,21801a,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,1997.0,FORD,F150,RED,13409b,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEV,2S,YELLOW,218011,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,03 - Station Wagon,2003.0,FORD,EXPLORER,BLUE DARK,13411f,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2002.0,CHEVROLET,2500,WHITE,16303c,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
WILLFUL MOTOR VEH DAMAGING TAMPERING WO OWNERS CONSENT,No,No,No,No,No,MD,02 - Automobile,2004.0,TOYOTA,HIGHLANDER,WHITE,14104a,No,WHITE,F,FREDERICK,MD,MD,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,MD,02 - Automobile,1995.0,HONDA,ACCORD,GREEN DK,21902b1,No,HISPANIC,M,LAUREL,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2006.0,HONDA,ACCORD,GRAY,16101a,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2002.0,KIA,VAN,WHITE,224123b,No,BLACK,M,BROOKEVILLE,MD,MD,Q - Marked Laser,Citation
DRIVER WRITING A TEXT MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,No,No,Yes,No,No,MD,02 - Automobile,2005.0,VOLVO,XC90,SILVER,2111241b,Yes,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2012.0,KIA,OPTIMA,RED,16112c,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVER WRITINGSENDING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYOTA,TUNDRA,BLUE,2111241b,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH DURING REG PERIOD,No,No,No,No,No,MD,05 - Light Duty Truck,1997.0,FORD,EXPEDTION,BLACK,17104,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
LICENSEE FAILURE TO APPLY FOR DUP LIC WHEN LIC MUTILATED,No,No,No,No,No,MD,02 - Automobile,1999.0,HONDA,ACCORD,BLACK,16114b,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2006.0,HONDA,ACCORD,SILVER,16101a,No,BLACK,F,BURTONSVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYOTA,TAV4,SILVER,21902a1,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER WRITINGSENDINGREADING A TEXTELECTRONICMSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,No,No,No,No,No,MD,05 - Light Duty Truck,2016.0,JEEP,4S,BLACK,2111241b,No,WHITE,M,CLARKSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,DC,02 - Automobile,2002.0,FORD,EXPLORER,GRAY,16101a1,No,BLACK,F,GERMANTOWN,MD,DC,A - Marked Patrol,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,MD,02 - Automobile,2001.0,FORD,EXPLORER,BLACK,219011b,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,05 - Light Duty Truck,2005.0,LEXUS,TK,BLACK,218011,No,WHITE,F,POTOMAC,MD,MD,Q - Marked Laser,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,1999.0,TOYOTA,SOLARA 2S,RED,13401h,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,05 - Light Duty Truck,2011.0,TOYT,VN,GRAY,218011,No,OTHER,F,WALDORF,MD,MD,Q - Marked Laser,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,Yes,No,No,MD,02 - Automobile,2003.0,HONDA,CRV,TAN,16112c,Yes,BLACK,F,BETHESDA,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2005.0,HOND,ACCORD 2S,RED,21902a1,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYOTA,PRIUS,GRAY,21204d,No,BLACK,M,HAGERSTOWN,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,ACCORD,BLUE,21902a1,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2000.0,CHEVROLET,BLAZER,RED,16101a,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,PA,02 - Automobile,2015.0,CHEV,IMPALA,SILVER,218011,No,BLACK,M,ERIE,PA,PA,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,28 - Other,2003.0,CHEV,EXPRESS VAN,WHITE,16112c,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,1999.0,TOYOTA,COROLLA,BEIGE,16112c,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,No,No,No,No,No,MD,02 - Automobile,2006.0,MAZDA,TRIBUTE,WHITE,21202h2,No,BLACK,F,UPPER MARLBORO,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Yes,No,No,No,No,MD,02 - Automobile,2002.0,ACUR,TK,SILVER,13401h,No,BLACK,M,ROCKVILLE,MD,MD,S - License Plate Recognition,Citation
DRIVING VEH ON HWY WITH UNPAID REGISTRATION FEE,No,No,No,No,No,MD,02 - Automobile,2002.0,BMW,530I,BLACK,13401d,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,No,Yes,No,No,MD,02 - Automobile,2011.0,HOND,PILOT,GRAY,21801b,Yes,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,Citation
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,No,Yes,No,No,No,MD,02 - Automobile,2002.0,SATURN,4S,BLACK,21402a,Yes,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING VEH IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HWY,No,No,No,No,No,MD,02 - Automobile,2001.0,ACUR,CL,WHITE,21801a,No,HISPANIC,M,COLUMBIA,MD,MD,A - Marked Patrol,Citation
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,No,No,VA,02 - Automobile,1997.0,SUBARU,LEGACY,RED,21902a2,No,HISPANIC,M,MANASSAS PARK,VA,VA,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 45 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2017.0,SUBARU,STI,SILVER,218011,No,HISPANIC,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,NC,02 - Automobile,2009.0,SUBA,LEGACY,GREEN LGT,16101a,No,BLACK,M,GERMANTOWN,MD,NC,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Yes,Yes,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,RAV4,BLUE,13409b,Yes,HISPANIC,M,ADELPHI,MD,MD,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 47 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2014.0,BMW,428I,BLACK,218011,No,OTHER,M,POTOMAC,MD,MD,A - Marked Patrol,Citation
FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,2008.0,NISSAN,ALTIMA,RED,21707a,No,OTHER,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,CAMRY,SILVER,16303h,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 57 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2007.0,NISS,4S,RED,218011,No,HISPANIC,M,ROCKVILLE,MD,MD,Q - Marked Laser,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2002.0,CHEV,4S,SILVER,16303h,No,OTHER,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYT,COROLLA,,21801b,No,BLACK,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2010.0,HONDA,CIVIC,WHITE,13401h,No,ASIAN,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,1994.0,HONDA,2S,BLUE,13411a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE OF DRIVER TO SLOW TO A REASONABLE AND PRUDENT SPEED WHILE PASSING STOPPED EMERG VEH,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,CAMRY,SILVER,21405e2,No,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,XX,02 - Automobile,2011.0,MERZ,C300,BLACK,13411f,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,4 DOOR,WHITE,21204d,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,DC,02 - Automobile,2007.0,AUDI,A4 4S,BLACK,219011b,No,WHITE,F,WASHINGTON,DC,DC,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,PILOT,SILVER,13411f,No,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,VT,02 - Automobile,2002.0,MERCURY,SABLE,SILVER,21902a1,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,No,No,No,No,No,MD,02 - Automobile,2009.0,VOLK,4S,BLACK,21401,Yes,WHITE,M,BOYDS,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,Yes,No,Yes,No,MD,28 - Other,2003.0,CHEVY,SUBURBAN TK,SILVER,21801b,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
POSSESSING MORE THAN ONE DRIVERS LICENSE AT ANY ONE TIME,No,No,No,No,No,MD,02 - Automobile,2002.0,HYUN,4S,SILVER,161111f,No,HISPANIC,M,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,DC,02 - Automobile,2000.0,MERCURY,GRAND MARQUIS,SILVER,16101a,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,No,No,No,No,No,MD,05 - Light Duty Truck,2002.0,FORD,EXPLORER,BLUE DARK,219011a,No,WHITE,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2002.0,ISUZU,TK,BLACK,16101a,No,BLACK,F,BALTIMORE,MD,MD,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,MD,05 - Light Duty Truck,2001.0,FORD,TK F150,BLUE,21902b1,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2014.0,DODGE,CHARGER,WHITE,16112c,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 41 MPH IN A POSTED 25 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2008.0,CHEV,4S,SILVER,218011,No,WHITE,F,DAMASCUS,MD,MD,B - Unmarked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,01 - Motorcycle,2008.0,YAMAHA,M,RED,16101a,No,BLACK,M,WASHINGTON,DC,DC,B - Unmarked Patrol,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,Yes,No,MD,02 - Automobile,2003.0,INFINITI,G35,BLUE,21707a,No,WHITE,M,HALETHORPE,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,Yes,No,MD,02 - Automobile,2013.0,HOND,CRV,SILVER,16112c,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
OPERATING VEH ON HWY WITH ALTERED DANGEROUS BUMPER OR SUSPENSION,No,No,No,No,No,MD,02 - Automobile,1994.0,HONDA,CIVIC,PURPLE,22105a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2009.0,KIA,SORRENTO,RED,16303c,No,BLACK,M,BOYDS,MD,MD,A - Marked Patrol,Citation
WILLFULLY DRIVING MOTOR VEH AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,No,No,No,No,No,MD,02 - Automobile,2002.0,CHRYSLER,TOWN COUNTRY,SILVER,21804a,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,VA,02 - Automobile,2007.0,VOLK,2D,BLACK,21201a1,No,WHITE,F,ARLINGTON,VA,VA,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 83 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,DC,02 - Automobile,2007.0,NISSAN,350 Z,GRAY,218011,No,BLACK,M,BOWIE,MD,MD,Q - Marked Laser,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2006.0,HONDA,ACCORD,WHITE,16101a,No,ASIAN,M,ROCKVILLE,MD,MD,B - Unmarked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYT,4S,RED,13401h,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2010.0,NISSAN,MAXIMA,BLACK,218011,No,HISPANIC,M,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
EXCEEDING MAXIMUM SPEED 45 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2015.0,BMW,525I 4S,WHITE,218011,No,WHITE,F,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2011.0,HYUNDAI,TUCSON,SILVER,218011,No,BLACK,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Citation
FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,VA,02 - Automobile,1988.0,DODGE,RAM VAN,WHITE,21707a,No,WHITE,M,AMISSVILLE,VA,VA,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2006.0,MERCURY,MARQUIS,WHITE,21201a1,No,OTHER,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
HOLDING ID CARD ISSUED UNDER THIS SEC WHILE HOLDING ANOTHER,No,No,No,No,No,MD,02 - Automobile,2015.0,NISSAN,ALTIMA,GREEN,16122c,No,BLACK,M,SILVER SPRING,MD,MD,M - Marked (Off-Duty),Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,1994.0,HOND,CP,BLACK,16112c,No,OTHER,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2016.0,VOLK,JETTA,BROWN,218011,No,BLACK,F,BALTIMORE,MD,MD,Q - Marked Laser,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,MD,02 - Automobile,2003.0,NISSAN,SENTRA,BLACK,219011b,Yes,HISPANIC,M,LANDOVER,MD,XX,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2005.0,NISSAN,ALTIMA,GRAY,13409b,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2006.0,DODGE,CHARGER,BLACK,16112c,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER CONSUMING ALCOHOLIC BEVERAGE IN PASSENGER AREA OF MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,MD,02 - Automobile,2003.0,INFINITI,G35,SILVER,21903c,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,MATRIX,SILVER,2111242d2,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,No,Yes,No,No,No,MD,02 - Automobile,2008.0,CADI,4S,GOLD,21801b,Yes,BLACK,M,CHEVY CHASE,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,1998.0,FORD,TK,BLACK,16303h,No,HISPANIC,F,GERMANTOWN,MD,MD,Q - Marked Laser,Citation
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYT,4S,BLACK,21309d,No,BLACK,F,LAUREL,MD,MD,A - Marked Patrol,Citation
